0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
63201-13423,OF,Starling,Starling Marte,Marte,13.66931845925071,88,9500,NYY@OAK,OAK,NYY,,,,,2,0
63201-52175,1B,Matt,Matt Olson,Olson,12.4672131147541,122,9000,NYY@OAK,OAK,NYY,,,,,3,1
63201-60643,OF,Aaron,Aaron Judge,Judge,11.801769695450776,113,8500,NYY@OAK,NYY,OAK,,,,,3,2
63201-38321,OF,Joey,Joey Gallo,Gallo,11.298333740234375,120,7500,NYY@OAK,NYY,OAK,,,,,4,3
63201-21666,OF,Mark,Mark Canha,Canha,10.834259033203123,108,6500,NYY@OAK,OAK,NYY,,,,,1,4
63201-12302,OF,Giancarlo,Giancarlo Stanton,Stanton,10.650943396226415,106,8000,NYY@OAK,NYY,OAK,,,,,5,5
63201-12940,1B,Anthony,Anthony Rizzo,Rizzo,9.805607020297897,107,7500,NYY@OAK,NYY,OAK,,,,,2,6
63201-13567,2B,DJ,DJ LeMahieu,LeMahieu,9.36749979654948,120,7000,NYY@OAK,NYY,OAK,,,,,1,7
63201-68544,3B,Matt,Matt Chapman,Chapman,9.342276224275915,123,7000,NYY@OAK,OAK,NYY,,,,,7,8
63201-16945,C,Gary,Gary Sanchez,Sanchez,9.233333333333333,90,6000,NYY@OAK,NYY,OAK,,,,,6,9
63201-13771,2B,Josh,Josh Harrison,Harrison,9.039622756670106,106,6500,NYY@OAK,OAK,NYY,,,,,5,10
63201-82624,C,Sean,Sean Murphy,Murphy,8.69901948816636,102,5500,NYY@OAK,OAK,NYY,,,,,6,11
63201-6029,2B,Jed,Jed Lowrie,Lowrie,8.56101705260196,118,6500,NYY@OAK,OAK,NYY,,,,,4,12
63201-38112,3B,Gio,Gio Urshela,Urshela,8.469412051930147,85,5000,NYY@OAK,NYY,OAK,,,,,7,13
63201-68554,3B,Andrew,Andrew Velazquez,Velazquez,7.7874999046325675,16,5000,NYY@OAK,NYY,OAK,,,,,8,14
63201-5359,SS,Elvis,Elvis Andrus,Andrus,6.542623050877305,122,5000,NYY@OAK,OAK,NYY,,,,,9,15
63201-5948,OF,Brett,Brett Gardner,Gardner,6.045370596426505,108,4500,NYY@OAK,NYY,OAK,,,,,9,16
