StadiumID,Active,Name,City,State,Country,Capacity,Surface,LeftField,MidLeftField,LeftCenterField,MidLeftCenterField,CenterField,MidRightCenterField,RightCenterField,MidRightField,RightField,GeoLat,GeoLong,Altitude,HomePlateDirection,Type
1,True,PETCO Park,San Diego,CA,USA,41164.0,Grass,334.0,351.0,367.0,402.0,396.0,403.0,378.0,351.0,322.0,32.7073,-117.1566,14.0,180.0,Outdoor
8,True,Citi Field,New York,NY,USA,41922.0,Grass,335.0,371.0,384.0,394.0,408.0,415.0,378.0,372.0,330.0,40.756944,-73.845833,13.0,165.0,Outdoor
10,True,Progressive Field,Cleveland,OH,USA,37675.0,Grass,325.0,369.0,368.0,385.0,405.0,388.0,375.0,364.0,325.0,41.495833000000005,-81.685278,673.0,180.0,Outdoor
13,True,Oracle Park,San Francisco,CA,USA,41915.0,Grass,339.0,346.0,382.0,389.0,399.0,399.0,421.0,368.0,309.0,37.778611,-122.38916699999999,8.0,90.0,Outdoor
14,True,Target Field,Minneapolis,MN,USA,39021.0,Grass,339.0,355.0,377.0,390.0,404.0,392.0,367.0,344.0,328.0,44.981667,-93.27833299999999,840.0,105.0,Outdoor
18,True,Tropicana Field,St. Petersburg,FL,USA,31042.0,AstroTurf,315.0,354.0,370.0,410.0,404.0,404.0,370.0,342.0,322.0,27.768333000000002,-82.65333299999999,41.0,135.0,Dome
22,True,Oriole Park at Camden Yards,Baltimore,MD,USA,45971.0,Grass,333.0,368.0,364.0,378.0,410.0,400.0,373.0,341.0,318.0,39.283889,-76.621667,35.0,150.0,Outdoor
23,True,Oakland Coliseum,Oakland,CA,USA,35067.0,Grass,330.0,367.0,362.0,388.0,400.0,388.0,362.0,367.0,330.0,37.751667,-122.200556,0.0,135.0,Outdoor
25,True,Guaranteed Rate Field,Chicago,IL,USA,40615.0,Grass,330.0,365.0,377.0,385.0,400.0,385.0,372.0,365.0,335.0,41.829908,-87.633889,594.0,45.0,Outdoor
27,True,Wrigley Field,Chicago,IL,USA,40929.0,Grass,355.0,356.0,368.0,391.0,400.0,397.0,368.0,356.0,353.0,41.948038000000004,-87.65568,599.0,150.0,Outdoor
28,True,Angel Stadium of Anaheim,Anaheim,CA,USA,43250.0,Grass,330.0,348.0,376.0,387.0,408.0,383.0,362.0,359.0,330.0,33.800278000000006,-117.882778,154.0,135.0,Outdoor
29,True,PNC Park,Pittsburgh,PA,USA,38362.0,Grass,325.0,370.0,389.0,410.0,399.0,393.0,375.0,353.0,320.0,40.446944,-80.005833,724.0,60.0,Outdoor
31,True,Dodger Stadium,Los Angeles,CA,USA,56000.0,Grass,330.0,380.0,385.0,390.0,395.0,390.0,385.0,380.0,330.0,34.073611,-118.240646,501.0,150.0,Outdoor
33,True,Kauffman Stadium,Kansas City,MO,USA,37903.0,Grass,330.0,351.0,387.0,390.0,410.0,390.0,387.0,351.0,330.0,39.051097999999996,-94.48,886.0,135.0,Outdoor
35,True,Yankee Stadium,New York,NY,USA,49642.0,Grass,318.0,357.0,399.0,400.0,408.0,396.0,385.0,346.0,314.0,40.829167,-73.926389,11.0,105.0,Outdoor
41,True,Busch Stadium,St. Louis,MO,USA,43975.0,Grass,336.0,354.0,390.0,392.0,400.0,392.0,390.0,354.0,335.0,38.6225,-90.193056,438.0,120.0,Outdoor
42,True,Rogers Centre,Toronto,ON,Canada,49282.0,AstroTurf,328.0,348.0,375.0,391.0,400.0,391.0,375.0,348.0,328.0,43.641389000000004,-79.389167,268.0,210.0,RetractableDome
44,True,Coors Field,Denver,CO,USA,50398.0,Grass,347.0,361.0,390.0,397.0,415.0,391.0,375.0,365.0,350.0,39.756111,-104.99416699999999,5211.0,180.0,Outdoor
50,True,Fenway Park,Boston,MA,USA,37499.0,Grass,310.0,320.0,348.0,379.0,390.0,420.0,383.0,380.0,302.0,42.34625,-71.09775,16.0,135.0,Outdoor
51,True,Citizens Bank Park,Philadelphia,PA,USA,43651.0,Grass,329.0,349.0,374.0,386.0,401.0,384.0,369.0,351.0,330.0,39.905833,-75.166389,19.0,165.0,Outdoor
53,True,Nationals Park,Washington,DC,USA,41341.0,Grass,336.0,351.0,377.0,390.0,403.0,390.0,370.0,351.0,335.0,38.872778000000004,-77.0075,23.0,150.0,Outdoor
54,True,Chase Field,Phoenix,AZ,USA,48519.0,Grass,330.0,359.0,374.0,413.0,407.0,413.0,374.0,359.0,334.0,33.445278,-112.06694399999999,1059.0,180.0,RetractableDome
62,True,Comerica Park,Detroit,MI,USA,41574.0,Grass,345.0,370.0,402.0,406.0,420.0,393.0,365.0,350.0,330.0,42.339166999999996,-83.048611,602.0,30.0,Outdoor
63,True,Minute Maid Park,Houston,TX,USA,41574.0,Grass,315.0,347.0,362.0,410.0,435.0,393.0,373.0,347.0,326.0,29.756944,-95.355556,20.0,210.0,RetractableDome
64,True,Great American Ball Park,Cincinnati,OH,USA,42319.0,Grass,328.0,356.0,379.0,391.0,404.0,391.0,370.0,356.0,325.0,39.0975,-84.50666700000001,489.0,45.0,Outdoor
65,True,T-Mobile Park,Seattle,WA,USA,47574.0,Grass,331.0,358.0,390.0,399.0,405.0,391.0,387.0,353.0,327.0,47.591358,-122.333,17.0,135.0,RetractableDome
68,True,Truist Park,Atlanta,GA,USA,41149.0,Grass,335.0,375.0,385.0,402.0,400.0,402.0,375.0,350.0,325.0,33.890166,-84.46799999999999,1050.0,15.0,Outdoor
88,True,Globe Life Field,Arlington,TX,USA,40300.0,Grass,329.0,334.0,372.0,410.0,407.0,410.0,374.0,352.0,326.0,32.747361,-97.08416700000001,549.0,,RetractableDome
92,True,American Family Field,Milwaukee,WI,USA,41900.0,Grass,344.0,359.0,371.0,379.0,400.0,386.0,374.0,354.0,345.0,43.028333,-87.971111,602.0,45.0,RetractableDome
93,True,loanDepot Park,Miami,FL,USA,36742.0,Grass,344.0,360.0,386.0,395.0,422.0,405.0,392.0,360.0,335.0,25.778056,-80.21972199999999,6.0,105.0,RetractableDome
